Number of parameters: 24,627,840
iter 366: loss 4.2713, time 4770.83ms, mfu 0.05%
iter 367: loss 4.1454, time 4767.96ms, mfu 0.04%
iter 368: loss 4.4217, time 4783.12ms, mfu 0.04%
iter 369: loss 4.2005, time 4789.29ms, mfu 0.04%
iter 370: loss 4.4519, time 4783.73ms, mfu 0.04%
iter 371: loss 4.3011, time 4781.18ms, mfu 0.04%
iter 372: loss 4.3540, time 4127.97ms, mfu 0.04%
iter 373: loss 4.1028, time 4783.82ms, mfu 0.04%
iter 374: loss 4.5700, time 3989.37ms, mfu 0.04%
iter 375: loss 4.3775, time 2610.75ms, mfu 0.05%
iter 376: loss 4.3686, time 4784.39ms, mfu 0.05%
iter 377: loss 4.2868, time 4787.21ms, mfu 0.05%
iter 378: loss 3.9431, time 4783.39ms, mfu 0.05%
iter 379: loss 4.5124, time 4790.90ms, mfu 0.05%
iter 380: loss 4.4510, time 4766.29ms, mfu 0.05%
iter 381: loss 4.0986, time 3704.94ms, mfu 0.05%
iter 382: loss 4.3543, time 1653.66ms, mfu 0.05%
iter 383: loss 3.8867, time 4363.82ms, mfu 0.05%
iter 384: loss 3.9631, time 4809.13ms, mfu 0.05%
iter 385: loss 4.6426, time 4807.40ms, mfu 0.05%
iter 386: loss 4.0457, time 4807.48ms, mfu 0.05%
iter 387: loss 4.1051, time 4809.11ms, mfu 0.05%
iter 388: loss 4.0053, time 4808.44ms, mfu 0.05%
iter 389: loss 3.9927, time 4807.08ms, mfu 0.05%
iter 390: loss 3.8579, time 4808.02ms, mfu 0.05%
iter 391: loss 4.6659, time 4808.10ms, mfu 0.05%
iter 392: loss 4.3140, time 4813.50ms, mfu 0.05%
iter 393: loss 4.0188, time 4001.73ms, mfu 0.05%
iter 394: loss 4.4223, time 1649.38ms, mfu 0.05%
iter 395: loss 4.4619, time 3869.26ms, mfu 0.05%
iter 396: loss 4.2023, time 4786.16ms, mfu 0.05%
iter 397: loss 3.9446, time 4807.96ms, mfu 0.05%
iter 398: loss 4.0633, time 4808.29ms, mfu 0.05%
iter 399: loss 4.0502, time 4806.85ms, mfu 0.05%
iter 400: loss 3.6980, time 4807.71ms, mfu 0.05%
iter 401: loss 4.5768, time 4808.70ms, mfu 0.05%
iter 402: loss 4.4991, time 4806.46ms, mfu 0.05%
iter 403: loss 4.1662, time 4809.00ms, mfu 0.05%
iter 404: loss 4.3832, time 4809.21ms, mfu 0.05%
iter 405: loss 4.1198, time 2286.21ms, mfu 0.05%
iter 406: loss 4.2782, time 2099.52ms, mfu 0.05%
iter 407: loss 4.0521, time 4814.38ms, mfu 0.05%
iter 408: loss 3.8277, time 4787.34ms, mfu 0.05%
iter 409: loss 4.2899, time 4787.27ms, mfu 0.05%
iter 410: loss 3.8519, time 4807.75ms, mfu 0.05%
iter 411: loss 4.0081, time 4808.15ms, mfu 0.05%
iter 412: loss 4.1266, time 4807.56ms, mfu 0.05%
iter 413: loss 4.1345, time 4807.61ms, mfu 0.05%
iter 414: loss 3.6959, time 2121.32ms, mfu 0.05%
iter 415: loss 3.8804, time 3915.59ms, mfu 0.05%
iter 416: loss 4.2742, time 4806.95ms, mfu 0.05%
iter 417: loss 4.0449, time 4810.29ms, mfu 0.05%
iter 418: loss 4.1683, time 4809.23ms, mfu 0.05%
iter 419: loss 4.5140, time 4807.29ms, mfu 0.05%
iter 420: loss 4.3792, time 4814.99ms, mfu 0.05%
iter 421: loss 3.9994, time 4808.27ms, mfu 0.05%
iter 422: loss 3.7181, time 4807.89ms, mfu 0.05%
iter 423: loss 3.7098, time 4808.87ms, mfu 0.05%
iter 424: loss 4.2767, time 4168.16ms, mfu 0.05%
iter 425: loss 4.3779, time 1762.64ms, mfu 0.05%
iter 426: loss 4.1496, time 2177.21ms, mfu 0.06%
iter 427: loss 3.8559, time 4806.97ms, mfu 0.06%
iter 428: loss 3.6771, time 4808.50ms, mfu 0.05%
iter 429: loss 4.4039, time 4786.40ms, mfu 0.05%
iter 430: loss 4.1950, time 4784.99ms, mfu 0.05%
iter 431: loss 4.1790, time 4787.53ms, mfu 0.05%
iter 432: loss 4.2105, time 4806.07ms, mfu 0.05%
iter 433: loss 3.7255, time 4785.46ms, mfu 0.05%
iter 434: loss 4.3873, time 4814.56ms, mfu 0.05%
iter 435: loss 4.2236, time 4805.78ms, mfu 0.05%
iter 436: loss 4.0491, time 4807.74ms, mfu 0.05%
iter 437: loss 4.4599, time 4786.98ms, mfu 0.05%
iter 438: loss 3.5806, time 1852.42ms, mfu 0.05%
iter 439: loss 3.9837, time 2036.20ms, mfu 0.06%
iter 440: loss 3.7786, time 3149.25ms, mfu 0.06%
iter 441: loss 3.8637, time 4807.62ms, mfu 0.06%
iter 442: loss 4.1689, time 4808.97ms, mfu 0.05%
iter 443: loss 3.9183, time 4809.03ms, mfu 0.05%
iter 444: loss 4.4338, time 4807.27ms, mfu 0.05%
iter 445: loss 4.2036, time 4809.70ms, mfu 0.05%
